V,f,ap,D,work_material,Ra,timp
249.2107,0.3026,3.8959,12,2,83.9294,2.9982
183.561,0.1058,2.0318,12,2,10.6992,11.6378
292.7281,0.2908,1.3224,10,1,51.6436,2.2133
126.6496,0.1875,2.967,20,2,21.3065,15.8711
118.7844,0.1949,3.3599,20,0,20.0189,16.2765
282.0472,0.09,2.4125,20,1,2.7872,14.8366
223.8728,0.0742,3.8846,16,1,2.2302,18.1514
272.1006,0.2684,0.6808,20,2,38.9832,5.1597
208.7068,0.1989,2.2668,12,1,21.5516,5.4451
161.6005,0.1811,3.0146,12,2,32.0081,7.727
304.7756,0.2689,3.5192,16,0,40.8449,3.6788
299.854,0.2797,1.1274,16,2,51.8532,3.5948
273.6741,0.0977,3.3,20,1,2.8878,14.0963
168.0363,0.2331,2.4345,10,0,54.5114,4.8106
247.5577,0.0906,1.8879,16,2,5.5767,13.439
190.2435,0.2754,0.961,16,0,46.7959,5.7532
122.8955,0.2471,3.5285,20,0,31.8022,12.4087
329.3284,0.337,1.0505,20,1,33.6873,3.3953
134.2047,0.0707,1.5843,16,0,3.4318,31.7754
337.5593,0.0671,1.5152,10,1,2.8342,8.3158
211.5014,0.1347,3.5499,16,0,11.1036,10.5843
